Date,Time,Open,High,Low,Close,Volume
20130724,0.0,62.704285,63.512856000000006,62.18,62.93,147984200
20130725,0.0,62.957142000000005,63.057143999999994,62.258571999999994,62.64285699999999,57373400
20130726,0.0,62.185715,63.005714000000005,62.048573,62.998573,50038100
20130729,0.0,62.971428,64.284286,62.885715000000005,63.970001,62014400
20130730,0.0,64.279999,65.307144,64.175713,64.760002,77355600
20130731,0.0,64.998573,65.334282,64.204285,64.647141,80739400
20130801,0.0,65.10714,65.257141,64.751427,65.239998,51562700
20130802,0.0,65.43,66.121429,65.237144,66.077141,68695900
20130805,0.0,66.38428499999999,67.238571,66.021431,67.064285,79713900
20130806,0.0,66.860001,67.41285699999999,66.024284,66.464287,83714400
20130807,0.0,66.257141,66.714287,65.96714,66.425713,74714500
20130808,0.0,66.26571700000001,66.300003,65.421425,65.858574,63944300
20130809,0.0,65.519997,65.779999,64.807144,64.921425,66716300
20130812,0.0,65.26571700000001,66.949997,65.232857,66.76571700000001,91108500
20130813,0.0,67.27714499999999,70.665718,66.864288,69.938568,220485300
20130814,0.0,71.12571700000001,72.035713,70.485718,71.214287,189093100
20130815,0.0,70.91714499999999,71.771431,69.86856800000001,71.129997,122573500
20130816,0.0,71.449997,71.84857199999999,71.26571700000001,71.761429,90576500
20130819,0.0,72.048569,73.391426,72.0,72.534286,127629600
20130820,0.0,72.815712,72.938568,71.545715,71.581429,89672100
20130821,0.0,71.941429,72.449997,71.599998,71.76571700000001,83969900
20130822,0.0,72.139999,72.227142,71.171425,71.851425,61051900
20130823,0.0,71.895714,71.907143,71.335716,71.574287,55682900
20130826,0.0,71.535713,72.885712,71.5,71.852859,82741400
20130827,0.0,71.14286,71.78714000000001,69.471428,69.798569,106047200
20130828,0.0,69.428574,70.828575,69.428574,70.128571,76902000
20130829,0.0,70.235718,70.928574,70.16143000000001,70.242859,59914400
20130830,0.0,70.285713,70.421425,69.5,69.602859,68074300
20130903,0.0,70.442856,71.514282,69.621429,69.79714200000001,82982200
20130904,0.0,71.36571500000001,71.748573,70.897141,71.24143199999999,86258200
20130905,0.0,71.464287,71.525711,70.519997,70.752853,59091900
20130906,0.0,71.205711,71.339996,69.992859,71.174286,89881400
20130909,0.0,72.14286,72.559998,71.925713,72.309998,85171800
20130910,0.0,72.314285,72.492859,69.928574,70.66285699999999,185798900
20130911,0.0,66.715714,67.66999799999999,66.40142800000001,66.815712,224674100
20130912,0.0,66.928574,67.914284,66.572861,67.52714499999999,101012800
20130913,0.0,67.048569,67.404289,66.385712,66.414284,74708900
20130916,0.0,65.85714,65.944283,63.888573,64.302856,135926700
20130917,0.0,63.994285999999995,65.672859,63.92856999999999,65.045715,99845200
20130918,0.0,66.168571,66.621429,65.808571,66.382858,114215500
20130919,0.0,67.242859,67.975716,67.035713,67.471428,101135300
20130920,0.0,68.285713,68.364288,66.571426,66.772858,174825700
20130923,0.0,70.871429,70.987144,68.942856,70.091431,190526700
20130924,0.0,70.697144,70.781425,69.688568,69.871429,91086100
20130925,0.0,69.885712,69.94856999999999,68.775711,68.790001,79239300
20130926,0.0,69.428574,69.794289,69.128571,69.459999,59305400
20130927,0.0,69.111427,69.238571,68.674286,68.964287,57010100
20130930,0.0,68.178574,68.808571,67.772858,68.10714,65039100
20131001,0.0,68.349998,69.877144,68.339996,69.708572,88470900
20131002,0.0,69.37571700000001,70.257141,69.10714,69.937141,72296000
20131003,0.0,70.072861,70.335716,68.677139,69.058571,80688300
20131004,0.0,69.122856,69.228569,68.371429,69.004288,64717100
20131007,0.0,69.50856800000001,70.378571,69.335716,69.678574,78073100
20131008,0.0,69.99143199999999,70.091431,68.648575,68.705711,72729300
20131009,0.0,69.23428299999999,69.684288,68.325714,69.512856,75431300
20131010,0.0,70.188568,70.339996,69.577141,69.94856999999999,69650700
20131011,0.0,69.57,70.548569,69.308571,70.40142800000001,66934700
20131014,0.0,69.975716,71.08285500000001,69.907143,70.862854,65474500
20131015,0.0,71.072861,71.714287,70.788574,71.239998,80018400
20131016,0.0,71.541428,71.790001,71.318573,71.58714300000001,62775300
20131017,0.0,71.425713,72.111427,71.382858,72.071426,63398300
20131018,0.0,72.284286,72.751427,72.244286,72.69856999999999,72635500
20131021,0.0,73.110001,74.900002,73.074287,74.480003,99526700
20131022,0.0,75.201431,75.492859,72.575714,74.267143,133515900
20131023,0.0,74.14286,75.095711,74.14286,74.994286,78430800
20131024,0.0,75.0,76.067146,74.635712,75.987144,96191200
20131025,0.0,75.902855,76.175713,75.01571700000001,75.137146,84448000
20131028,0.0,75.577141,75.85714,74.744286,75.697144,137610200
20131029,0.0,76.610001,77.035713,73.505714,73.811432,158951800
20131030,0.0,74.230003,75.360001,73.860001,74.985718,88540900
20131031,0.0,75.0,75.355713,74.46714,74.671425,68924100
20131101,0.0,74.860001,74.971428,73.691429,74.290001,68722500
20131104,0.0,74.442856,75.260002,74.11571500000001,75.25,61156900
20131105,0.0,74.940002,75.555717,74.714287,75.064285,66303300
20131106,0.0,74.878571,74.980003,74.028572,74.41714499999999,55843900
20131107,0.0,74.225716,74.74143199999999,73.197144,73.21285999999999,65655100
20131108,0.0,73.511429,74.447144,73.227142,74.36571500000001,69829200
20131111,0.0,74.284286,74.524284,73.487144,74.150002,56863100
20131112,0.0,73.95285799999999,74.845711,73.85714,74.28714000000001,51069200
20131113,0.0,74.0,74.60714,73.851425,74.37571700000001,49305200
20131114,0.0,74.687141,75.611427,74.552856,75.451431,70604800
20131115,0.0,75.225716,75.584282,74.927139,74.998573,79480100
20131118,0.0,74.998573,75.312859,74.028572,74.089996,61236000
20131119,0.0,74.147141,74.76857,73.995712,74.221428,52234700
20131120,0.0,74.175713,74.345711,73.475716,73.571426,48479200
20131121,0.0,73.942856,74.458572,73.38143199999999,74.44856999999999,65506700
20131122,0.0,74.21714,74.594284,74.075714,74.257141,55931400
20131125,0.0,74.431427,75.12428299999999,74.428574,74.82,57327900
20131126,0.0,74.87428299999999,76.591431,74.85714,76.199997,100345700
20131127,0.0,76.61571500000001,78.0,76.199997,77.994286,90862100
20131129,0.0,78.497147,79.761429,78.25856800000001,79.438568,79531900
20131202,0.0,79.714287,80.61856800000001,78.688568,78.747147,118136200
20131203,0.0,79.757141,80.91143000000001,79.668571,80.902855,112742000
20131204,0.0,80.785713,81.312859,80.117142,80.714287,94452400
20131205,0.0,81.807144,82.16285699999999,80.915718,81.128571,111895000
20131206,0.0,80.827141,80.964287,79.938568,80.002853,86088100
