Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000


step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
76 1839.8300 -0.0172  -0.0139 0.0112  141.8440 0.0015 0.3881
77 1087.8700 -0.1324  -0.1307 -0.0018  171.0527 0.0038 0.4058
78 -3940.6500 0.1157  0.1227 -0.0135  172.1026 0.0017 0.7393
79 -1157.2800 -0.0482  -0.0478 -0.0148  167.8876 0.0143 0.5390
80 3708.7000 -0.0353  -0.0342 0.0166  122.5199 0.0017 0.1249
81 -3667.9500 -0.0482  -0.0484 0.0031  166.1372 0.0076 0.6793
82 938.3200 0.0449  0.0493 -0.0214  153.3771 0.0008 0.6302
83 -3733.7000 -0.0014  0.0007 -0.0041  175.5735 0.0040 0.6772
84 -4262.3200 0.0494  0.0521 -0.0110  169.8407 0.0017 0.6422
85 1768.3900 -0.0774  -0.0770 -0.0023  111.4965 0.0070 0.2339
86 -5694.9800 -0.0111  -0.0103 -0.0206  142.2004 0.0020 0.4433
87 -451.0700 -0.0780  -0.0767 -0.0171  180.7773 0.0003 0.7231
88 -2425.9400 0.0423  0.0515 -0.0140  162.1915 0.0056 0.6211
89 -8151.1800 -0.0110  -0.0062 -0.0259  178.1012 0.0099 0.8018
90 -5105.9700 0.1109  0.1118 -0.0170  177.6983 0.0009 0.7790
91 -176.7300 -0.0733  -0.0649 -0.0057  155.1808 0.0001 0.6035
92 -749.6000 -0.0687  -0.0697 -0.0148  126.3781 0.0001 0.3032
93 -2088.8800 0.0451  0.0479 -0.0145  166.1045 0.0129 0.7906
94 -2441.0100 -0.0805  -0.0766 0.0119  166.0435 0.0016 0.5849
95 -3806.9000 -0.0509  -0.0469 -0.0301  93.1823 0.0026 0.5539
96 1467.2800 0.0324  0.0949 0.0068  172.3027 0.0017 0.5612
97 -4093.0400 -0.0560  -0.0555 -0.0254  189.0049 0.0010 0.7909
98 -6484.7800 0.1472  0.1532 -0.0236  165.2046 0.0019 0.6934
99 -1072.9100 0.0633  0.0614 -0.0092  188.6318 0.0038 0.7386
100 -61.7500 -0.0800  -0.0538 -0.0096  177.5786 0.0019 0.5539
101 1202.4600 0.0970  0.0962 -0.0099  156.7610 0.0041 0.5433
102 -758.5400 -0.1159  -0.1080 0.0056  163.2553 0.0101 0.6985
103 -2708.9900 0.0250  0.0249 -0.0220  156.7968 0.0017 0.7596
104 -2456.6500 -0.0336  -0.0302 -0.0380  158.3662 0.0156 0.5331
