Wall time,Step,Value
1536561105.9672754,5,-4965.68994140625
1536561182.6627028,18,2024.800048828125
1536561213.387161,24,570.739990234375
1536561300.9424558,40,-1895.9300537109375
1536561312.6810498,42,-3101.199951171875
1536561328.983093,45,1536.72998046875
1536561375.303583,53,-3049.320068359375
1536561399.2206037,56,-7397.85986328125
1536561483.5033746,71,-110.23999786376953
1536561500.5054622,74,-3025.14990234375
1536561607.982638,94,-2441.010009765625
1536561652.828761,102,-758.5399780273438
1536561675.3791957,106,-2043.260009765625
1536561785.3807669,126,339.80999755859375
1536561894.7154307,139,-2625.090087890625
1536561966.1610596,155,-2781.6201171875
1536561980.6191719,158,-259.0400085449219
1536562023.0931165,167,-432.9599914550781
1536562074.3160136,178,517.0
1536562096.8660018,183,-3599.280029296875
1536562105.9530466,185,1896.52001953125
1536562110.9895515,186,-8744.26953125
1536562130.2574637,190,1276.8900146484375
1536562209.91484,207,2041.6099853515625
1536562302.771041,223,1491.9599609375
1536562329.2644572,229,-2198.679931640625
1536562354.1111941,234,-355.739990234375
1536562423.915367,249,-27.540000915527344
1536562452.9000602,255,-758.3099975585938
1536562475.9613917,260,-149.55999755859375
1536562508.1233275,267,780.8800048828125
1536562526.480497,271,1087.6300048828125
1536562535.927397,273,297.5
1536562623.2090824,292,1898.31005859375
1536562695.7582622,308,-1029.8499755859375
1536562704.893187,310,1477.800048828125
1536562742.3302205,318,-546.6300048828125
1536562797.4907734,330,825.469970703125
1536562839.2821238,339,301.20001220703125
1536562873.7594502,347,359.55999755859375
1536562946.5765347,363,-536.3300170898438
1536562964.9733171,367,1078.0999755859375
1536563218.9236226,421,-2469.389892578125
1536563223.2176094,422,1288.27001953125
1536563296.7219238,439,-1422.469970703125
1536563305.523984,441,-3542.989990234375
1536563309.755277,442,2081.39990234375
1536563322.5520842,445,1463.25
1536563388.5062716,460,-2856.909912109375
1536563401.5355375,463,-5356.240234375
1536563405.8790615,464,-1447.7099609375
1536563452.3019996,474,-524.8200073242188
1536563528.7128153,491,-718.0499877929688
1536563537.418966,493,409.7099914550781
1536563628.9260046,514,2508.81005859375
1536563641.8065372,517,-698.5900268554688
1536563677.0945866,525,-926.1599731445312
1536563703.0917766,531,1240.719970703125
1536563711.8841023,533,1054.75
1536563726.1110623,536,976.1900024414062
1536563753.3611658,542,682.72998046875
1536563776.2574735,547,2443.169921875
1536563823.5499766,557,742.3900146484375
1536563851.2627583,563,-177.47000122070312
1536563897.2667143,573,0.0
1536563925.0097036,579,1948.3399658203125
1536563933.888111,581,0.0
